0,neutral
1,positive
2,positive
3,neutral
4,positive
5,neutral
6,positive
7,neutral
8,negative
9,positive
10,negative
11,neutral
12,negative
13,positive
14,negative
15,neutral
16,positive
17,positive
18,positive
19,positive
20,negative
21,neutral
22,neutral
23,positive
24,negative
25,neutral
26,positive
27,neutral
28,neutral
29,neutral
30,neutral
31,neutral
32,positive
33,positive
34,positive
35,neutral
36,negative
37,neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,neutral
47,negative
48,neutral
49,neutral
50,neutral
51,neutral
52,negative
53,negative
54,neutral
55,neutral
56,negative
57,positive
58,negative
59,neutral
60,positive
61,positive
62,neutral
63,negative
64,negative
65,negative
66,negative
67,positive
68,positive
69,positive
70,negative
71,positive
72,neutral
73,negative
74,positive
75,neutral
76,positive
77,positive
78,neutral
79,neutral
80,neutral
81,neutral
82,positive
83,negative
84,positive
85,neutral
86,negative
87,negative
88,neutral
89,positive
90,positive
91,positive
92,negative
93,neutral
94,negative
95,neutral
96,negative
97,neutral
98,negative
99,negative
100,positive
101,neutral
102,positive
103,neutral
104,positive
105,negative
106,neutral
107,neutral
108,neutral
109,neutral
110,neutral
111,neutral
112,neutral
113,neutral
114,positive
115,neutral
116,neutral
117,neutral
118,negative
119,neutral
120,neutral
121,positive
122,positive
123,neutral
124,negative
125,neutral
126,positive
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,positive
133,neutral
134,neutral
135,negative
136,negative
137,positive
138,positive
139,positive
140,negative
141,neutral
142,negative
143,negative
144,positive
145,neutral
146,negative
147,positive
148,positive
149,neutral
150,positive
151,positive
152,neutral
153,positive
154,negative
155,positive
156,neutral
157,positive
158,neutral
159,neutral
160,positive
161,negative
162,negative
163,negative
164,positive
165,negative
166,positive
167,neutral
168,positive
169,positive
170,positive
171,neutral
172,negative
173,positive
174,negative
175,positive
176,positive
177,negative
178,positive
179,positive
180,neutral
181,positive
182,positive
183,neutral
184,neutral
185,positive
186,neutral
187,positive
188,neutral
189,neutral
190,negative
191,neutral
192,positive
193,negative
194,neutral
195,negative
196,positive
197,negative
198,neutral
199,positive
200,negative
201,neutral
202,neutral
203,negative
204,negative
205,negative
206,negative
207,neutral
208,negative
209,negative
210,neutral
211,negative
212,positive
213,positive
214,positive
215,neutral
216,neutral
217,positive
218,negative
219,positive
220,neutral
221,neutral
222,neutral
223,positive
224,positive
225,positive
226,positive
227,negative
228,neutral
229,neutral
230,negative
231,positive
232,neutral
233,positive
234,neutral
235,neutral
236,neutral
237,neutral
238,positive
239,positive
240,neutral
241,neutral
242,neutral
243,positive
244,neutral
245,positive
246,negative
247,neutral
248,neutral
249,positive
250,neutral
251,positive
252,negative
253,neutral
254,positive
255,neutral
256,negative
257,negative
258,negative
259,positive
260,positive
261,positive
262,positive
263,negative
264,positive
265,negative
266,positive
267,neutral
268,negative
269,neutral
270,neutral
271,neutral
272,neutral
273,positive
274,neutral
275,neutral
276,neutral
277,neutral
278,positive
279,neutral
280,neutral
281,neutral
282,negative
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,positive
289,positive
290,neutral
291,neutral
292,positive
293,negative
294,negative
295,neutral
296,positive
297,neutral
298,neutral
299,neutral
300,neutral
301,positive
302,neutral
303,neutral
304,negative
305,neutral
306,negative
307,negative
308,positive
309,positive
310,neutral
311,neutral
312,neutral
313,negative
314,neutral
315,negative
316,positive
317,neutral
318,neutral
319,positive
320,positive
321,negative
322,positive
323,positive
324,positive
325,positive
326,neutral
327,neutral
328,neutral
329,positive
330,neutral
331,neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,neutral
345,positive
346,neutral
347,negative
348,neutral
349,neutral
350,neutral
351,positive
352,neutral
353,neutral
354,positive
355,neutral
356,positive
357,neutral
358,neutral
359,positive
360,positive
361,neutral
362,positive
363,positive
364,positive
365,positive
366,positive
367,positive
368,positive
369,negative
370,neutral
371,negative
372,negative
373,negative
374,neutral
375,negative
376,positive
377,negative
378,neutral
379,positive
380,neutral
381,positive
382,negative
383,negative
384,neutral
385,negative
386,neutral
387,neutral
388,neutral
389,positive
390,positive
391,neutral
392,neutral
393,neutral
394,positive
395,neutral
396,positive
397,neutral
398,neutral
399,positive
400,neutral
401,negative
402,neutral
403,neutral
404,positive
405,neutral
406,negative
407,neutral
408,positive
409,positive
410,positive
411,neutral
412,neutral
413,neutral
414,neutral
415,neutral
416,positive
417,neutral
418,neutral
419,negative
420,positive
421,positive
422,positive
423,positive
424,neutral
425,neutral
426,positive
427,neutral
428,neutral
429,negative
430,positive
431,negative
432,neutral
433,neutral
434,neutral
435,neutral
436,positive
437,negative
438,positive
439,negative
440,positive
441,positive
442,neutral
443,positive
444,negative
445,neutral
446,negative
447,neutral
448,negative
449,positive
450,neutral
451,neutral
452,negative
453,positive
454,neutral
455,neutral
456,neutral
457,negative
458,neutral
459,neutral
460,neutral
461,positive
462,negative
463,neutral
464,positive
465,negative
466,negative
467,neutral
468,negative
469,negative
470,neutral
471,neutral
472,neutral
473,positive
474,positive
475,positive
476,positive
477,neutral
478,neutral
479,positive
480,neutral
481,neutral
482,positive
483,neutral
484,neutral
485,negative
486,neutral
487,neutral
488,neutral
489,positive
490,neutral
491,neutral
492,neutral
493,positive
494,positive
495,neutral
496,neutral
497,positive
498,neutral
499,negative
500,neutral
501,neutral
502,neutral
503,positive
504,neutral
505,positive
506,neutral
507,positive
508,neutral
509,positive
510,neutral
511,neutral
512,neutral
513,negative
514,positive
515,neutral
516,neutral
517,positive
518,neutral
519,neutral
520,neutral
521,positive
522,negative
523,positive
524,neutral
525,positive
526,neutral
527,negative
528,neutral
529,neutral
530,negative
531,negative
532,positive
533,neutral
534,neutral
535,negative
536,neutral
537,negative
538,positive
539,neutral
540,negative
541,positive
542,positive
543,positive
544,positive
545,neutral
546,positive
547,negative
548,positive
549,neutral
550,neutral
551,neutral
552,positive
553,positive
554,positive
555,negative
556,negative
557,positive
558,neutral
559,neutral
560,negative
561,negative
562,positive
563,neutral
564,positive
565,positive
566,neutral
567,positive
568,positive
569,positive
570,neutral
571,neutral
572,negative
573,positive
574,negative
575,neutral
576,neutral
577,neutral
578,positive
579,positive
580,negative
581,negative
582,neutral
583,neutral
584,negative
585,negative
586,neutral
587,positive
588,positive
589,positive
590,positive
591,neutral
592,neutral
593,negative
594,positive
595,negative
596,positive
597,neutral
598,neutral
599,neutral
600,neutral
601,positive
602,neutral
603,neutral
604,neutral
605,neutral
606,neutral
607,neutral
608,negative
609,negative
610,positive
611,negative
612,negative
613,negative
614,neutral
615,negative
616,neutral
617,neutral
618,positive
619,positive
620,neutral
621,neutral
622,neutral
623,neutral
624,neutral
625,positive
626,neutral
627,negative
628,negative
629,neutral
630,negative
631,neutral
632,neutral
633,neutral
634,neutral
635,neutral
636,neutral
637,neutral
638,neutral
639,positive
640,neutral
641,neutral
642,neutral
643,neutral
644,neutral
645,neutral
646,neutral
647,positive
648,neutral
649,neutral
650,neutral
651,neutral
652,positive
653,neutral
654,positive
655,neutral
656,negative
657,neutral
658,neutral
659,neutral
660,positive
661,neutral
662,negative
663,neutral
664,positive
665,neutral
666,positive
667,positive
668,neutral
669,neutral
670,positive
671,positive
672,neutral
673,neutral
674,neutral
675,neutral
676,neutral
677,neutral
678,negative
679,negative
680,neutral
681,positive
682,neutral
683,neutral
684,positive
685,negative
686,positive
687,neutral
688,negative
689,negative
690,neutral
691,positive
692,neutral
693,neutral
694,negative
695,positive
696,positive
697,positive
698,neutral
699,neutral
700,neutral
701,neutral
702,negative
703,neutral
704,negative
705,neutral
706,neutral
707,negative
708,positive
709,positive
710,positive
711,neutral
712,neutral
713,neutral
714,neutral
715,neutral
716,neutral
717,neutral
718,negative
719,negative
720,neutral
721,neutral
722,neutral
723,neutral
724,neutral
725,neutral
726,neutral
727,neutral
728,positive
729,neutral
730,neutral
731,neutral
732,neutral
733,neutral
734,negative
735,negative
736,neutral
737,positive
738,neutral
739,neutral
740,neutral
741,positive
742,neutral
743,neutral
744,neutral
745,negative
746,neutral
747,negative
748,positive
749,negative
750,positive
751,negative
752,neutral
753,neutral
754,positive
755,positive
756,negative
757,negative
758,neutral
759,neutral
760,positive
761,neutral
762,neutral
